timestep,susceptible,exposed,infected,recovered
0,249970,30,0,0
1,249885,91,24,0
2,249581,323,87,10
3,248662,983,310,44
4,246936,1922,973,169
5,244632,2689,2121,558
6,241641,3529,3424,1406
7,238024,4323,4877,2776
8,233764,5124,6385,4727
9,228808,5981,7930,7281
10,223214,6790,9543,10453
11,216952,7621,11158,14270
12,210046,8430,12791,18733
13,202454,9278,14419,23850
14,194251,10058,16074,29617
15,185292,10971,17691,36046
16,175777,11709,19391,43123
17,165513,12606,21002,50879
18,154608,13426,22686,59280
19,143028,14265,24352,68355
20,130814,15067,26024,78095
21,117877,15950,27668,88505
22,104337,16729,29361,99572
23,90056,17627,31000,111317
24,75171,18411,32702,123717
25,59636,19217,34350,136797
26,43562,19917,35984,150537
27,29767,17779,37524,164931
28,19896,13427,36737,179940
29,12919,9662,32784,194635
30,7787,7064,27400,207748
31,4194,5006,22092,218708
32,1780,3415,17260,227545
33,521,1942,13088,234449
34,51,859,9406,239684
35,0,223,6331,243447
36,0,45,3977,245979
37,0,9,2422,247570
38,0,2,1460,248538
39,0,0,877,249122
40,0,0,527,249473
41,0,0,316,249684
42,0,0,190,249810
43,0,0,114,249886
44,0,0,68,249932
45,0,0,41,249959
46,0,0,25,249975
47,0,0,15,249985
48,0,0,9,249991
49,0,0,5,249995
