t,s,ds,e,de,i,di,r,dr
0,63184676,0,151,0,0,0,0,0
1,63184602,-74,134,-17,91,91,0,0
2,63184519,-83,136,2,135,44,36,36
3,63184440,-79,133,-3,163,28,90,54
4,63184372,-68,121,-12,178,15,156,66
5,63184311,-61,110,-11,180,2,227,71
6,63184247,-64,108,-2,174,-6,298,71
7,63184167,-80,123,15,169,-5,368,70
8,63184058,-109,158,35,175,6,436,68
9,63183902,-156,219,61,200,25,506,70
10,63183678,-224,312,93,252,52,586,80
11,63183360,-318,442,130,338,86,687,101
12,63182920,-440,617,175,468,130,822,135
13,63182331,-589,836,219,651,183,1009,187
14,63181570,-761,1095,259,892,241,1269,260
15,63180625,-945,1383,288,1193,301,1626,357
16,63179494,-1131,1684,301,1545,352,2103,477
17,63178188,-1306,1980,296,1938,393,2721,618
18,63176730,-1458,2250,270,2350,412,3497,776
19,63175136,-1594,2494,244,2760,410,4437,940
20,63173393,-1743,2740,246,3153,393,5541,1104
21,63171477,-1916,3012,272,3536,383,6802,1261
22,63169384,-2093,3298,286,3929,393,8216,1414
23,63167135,-2249,3568,270,4336,407,9788,1572
24,63164753,-2382,3809,241,4743,407,11522,1734
25,63162267,-2486,4010,201,5131,388,13419,1897
26,63159705,-2562,4166,156,5485,354,15472,2053
27,63157088,-2617,4283,117,5790,305,17665,2193
28,63154424,-2664,4377,94,6044,254,19982,2317
29,63151715,-2709,4459,82,6253,209,22399,2417
30,63148968,-2747,4531,72,6427,174,24900,2501
31,63146207,-2761,4574,43,6575,148,27471,2571
32,63143478,-2729,4558,-16,6689,114,30101,2630
33,63140821,-2657,4481,-77,6749,60,32777,2676
34,63138230,-2591,4383,-98,6737,-12,35477,2700
35,63135668,-2562,4315,-68,6672,-65,38172,2695
36,63133098,-2570,4296,-19,6593,-79,40840,2668
37,63130504,-2594,4312,16,6533,-60,43477,2637
38,63127881,-2623,4348,36,6507,-26,46091,2614
39,63125222,-2659,4399,51,6513,6,48694,2603
40,63122506,-2716,4475,76,6547,34,51299,2605
41,63119700,-2806,4596,121,6613,66,53918,2619
42,63116765,-2935,4773,177,6726,113,56563,2645
43,63113664,-3101,5010,237,6899,173,59253,2690
44,63110364,-3300,5304,294,7146,247,62013,2760
45,63106848,-3516,5638,334,7470,324,64871,2858
46,63103122,-3726,5981,343,7865,395,67859,2988
47,63099213,-3909,6302,321,8307,442,71005,3146
48,63095150,-4063,6584,282,8765,458,74328,3323
49,63090958,-4192,6826,242,9210,445,77834,3506
