t,s,ds,e,de,i,di,r,dr
0,63150844,0,33983,0,0,0,0,0
1,62871271,-279573,293166,259183,20390,20390,0,0
2,62292746,-578525,695792,402626,188133,167743,8156,8156
3,61469708,-823038,1101354,405562,530355,342222,83409,75253
4,60186359,-1283349,1723891,622537,979026,448671,295551,212142
5,58483258,-1703101,2392658,668767,1621750,642724,687162,391611
6,56531370,-1951888,2908951,516293,2408645,786895,1335862,648700
7,54123005,-2408365,3571945,662994,3190557,781912,2299319,963457
8,51298064,-2824941,4253720,681775,4057501,866944,3575542,1276223
9,48282098,-3015966,4717454,463734,4986733,929232,5198543,1623001
10,44789721,-3492377,5379359,661905,5822512,835779,7193236,1994693
11,41005550,-3784171,5935914,556555,6721122,898610,9522241,2329005
12,37052656,-3952894,6327259,391345,7594222,873100,12210689,2688448
13,33086714,-3965942,6496846,169587,8352889,758667,15248378,3037689
14,29455541,-3631173,6229911,-266935,8909841,556952,18589534,3341156
15,26087520,-3368021,5859986,-369925,9083851,174010,22153470,3563936
16,22806124,-3281396,5625391,-234595,8966302,-117549,25787011,3633541
17,19858695,-2947429,5197585,-427806,8755016,-211286,29373532,3586521
18,17147478,-2711217,4790251,-407334,8371561,-383455,32875538,3502006
19,14746325,-2401153,4317254,-472997,7897087,-474474,36224162,3348624
20,12946350,-1799975,3526876,-790378,7328604,-568483,39382997,3158835
21,11485580,-1460770,2871520,-655356,6513288,-815316,42314438,2931441
22,10253115,-1232465,2381073,-490447,5630885,-882403,44919754,2605316
23,9264017,-989098,1941527,-439546,4807175,-823710,47172108,2252354
24,8509113,-754904,1531515,-410012,4049221,-757954,49094978,1922870
25,7808807,-700306,1312913,-218602,3348441,-700780,50714666,1619688
26,7185925,-622882,1148046,-164867,2796812,-551629,52054043,1339377
27,6672553,-513372,972591,-175455,2366915,-429897,53172768,1118725
28,6207741,-464812,853848,-118743,2003704,-363211,54119534,946766
29,5844101,-363640,705179,-148669,1714531,-289173,54921015,801481
30,5541891,-302210,584282,-120897,1451826,-262705,55606828,685813
31,5276830,-265061,498774,-85508,1221665,-230161,56187558,580730
32,5005360,-271470,470980,-27794,1032263,-189402,56676224,488666
33,4777778,-227582,415974,-55006,901946,-130317,57089129,412905
34,4607105,-170673,337062,-78912,790752,-111194,57449908,360779
35,4485789,-121316,256141,-80921,676688,-114064,57766209,316301
36,4369107,-116682,219138,-37003,559698,-116990,58036884,270675
37,4253939,-115168,202823,-16315,467301,-92397,58260763,223879
38,4152865,-101074,182203,-20620,402075,-65226,58447684,186921
39,4063324,-89541,162423,-19780,350567,-51508,58608513,160829
40,3986093,-77231,142200,-20223,307794,-42773,58748740,140227
41,3924759,-61334,118214,-23986,269996,-37798,58871858,123118
42,3866514,-58245,105530,-12684,232926,-37070,58979856,107998
43,3816865,-49649,91861,-13669,203074,-29852,59073027,93171
44,3779837,-37028,73773,-18088,176961,-26113,59154256,81229
45,3741121,-38716,68225,-5548,150440,-26521,59225041,70785
46,3692425,-48696,75986,7761,131199,-19241,59285217,60176
47,3639896,-52529,82924,6938,124311,-6888,59337696,52479
48,3588836,-51060,84229,1305,124341,30,59387421,49725
49,3547815,-41021,74713,-9516,125142,801,59437157,49736
50,3503346,-44469,74353,-360,119913,-5229,59487214,50057
51,3446100,-57246,86988,12635,116560,-3353,59535179,47965
52,3396623,-49477,84272,-2716,122129,5569,59581803,46624
53,3341028,-55595,89304,5032,123840,1711,59630655,48852
