t,s,ds,e,de,i,di,r,dr
0,63081806,0,2392,0,0,0,0,0
1,63077655,-4151,5108,2716,1435,1435,0,0
2,63073079,-4576,6619,1511,4493,3058,7,7
3,63066864,-6215,8862,2243,8442,3949,30,23
4,63058419,-8445,11991,3129,13717,5275,72,42
5,63046323,-12096,16892,4901,20843,7126,140,68
6,63029972,-16351,23107,6215,30874,10031,245,105
7,63009382,-20590,29833,6726,44584,13710,399,154
8,62985370,-24012,35946,6113,62261,17677,622,223
9,62959326,-26044,40422,4476,83517,21256,933,311
10,62932005,-27321,43489,3067,107353,23836,1351,418
11,62898206,-33799,51195,7706,132909,25556,1888,537
12,62855789,-42417,62895,11700,162962,30053,2552,664
13,62806706,-49083,74241,11346,199884,36922,3367,815
14,62756175,-50531,80227,5986,243429,43545,4366,999
15,62715772,-40403,72494,-7733,290348,46919,5584,1218
16,62683028,-32744,61741,-10753,332393,42045,7035,1451
17,62657861,-25167,49864,-11877,367776,35383,8697,1662
18,62634599,-23262,43208,-6656,395855,28079,10536,1839
19,62608956,-25643,42926,-282,419801,23946,12515,1979
20,62582205,-26751,43922,996,443457,23656,14614,2099
21,62553243,-28962,46530,2608,467593,24136,16832,2218
22,62522865,-30378,48990,2460,493173,25580,19170,2338
23,62495563,-27302,46898,-2092,520101,26928,21635,2465
24,62469888,-25675,44434,-2464,545640,25539,24236,2601
25,62440255,-29633,47407,2973,569572,23932,26964,2728
26,62404419,-35836,54799,7392,595168,25596,29812,2848
27,62364034,-40385,62304,7505,625072,29904,32788,2976
28,62322462,-41572,66494,4190,659329,34257,35913,3125
29,62281507,-40955,67552,1058,695929,36600,39210,3297
30,62239943,-41564,68585,1033,732980,37051,42690,3480
31,62192795,-47148,74582,5997,770467,37487,46354,3664
32,62142846,-49949,79782,5200,811364,40897,50207,3853
33,62096538,-46308,78220,-1562,855176,43812,54264,4057
34,62051010,-45528,76817,-1403,897832,42656,58539,4275
35,62006679,-44331,75058,-1759,939433,41601,63029,4490
36,61963072,-43607,73630,-1428,979770,40337,67726,4697
37,61918869,-44203,73655,25,1019049,39279,72625,4899
38,61878752,-40117,69579,-4076,1058147,39098,77720,5095
39,61845199,-33553,61385,-8194,1094604,36457,83011,5291
40,61816186,-29013,53567,-7818,1125962,31358,88484,5473
41,61788909,-27277,48704,-4863,1152472,26510,94113,5629
42,61762287,-26622,46103,-2601,1175932,23460,99876,5763
43,61733984,-28303,46744,641,1197714,21782,105755,5879
44,61704056,-29928,48626,1882,1219772,22058,111744,5989
45,61672353,-31703,51153,2527,1242849,23077,117843,6099
46,61636072,-36281,56742,5589,1267326,24477,124057,6214
47,61592948,-43124,65821,9079,1295035,27709,130394,6337
48,61547615,-45333,71662,5841,1328052,33017,136869,6475
49,61504785,-42830,71495,-167,1364409,36357,143509,6640
50,61462485,-42300,70898,-597,1400484,36075,150331,6822
51,61420860,-41625,69985,-913,1436020,35536,157334,7003
52,61376971,-43889,71882,1897,1470831,34811,164514,7180
53,61329009,-47962,76715,4833,1506606,35775,171868,7354
54,61284338,-44671,75357,-1358,1545102,38496,179401,7533
55,61245231,-39107,69250,-6107,1582591,37489,187126,7725
56,61210551,-34680,62380,-6870,1616228,33637,195039,7913
57,61171067,-39484,64436,2056,1645575,29347,203121,8082
58,61129202,-41865,67640,3204,1676008,30433,211348,8227
59,61086479,-42723,69779,2139,1708212,32204,219729,8381
60,61038645,-47834,75745,5966,1741538,33326,228270,8541
61,60984850,-53795,84093,8348,1778278,36740,236977,8707
62,60933584,-51266,84904,811,1819842,41564,245869,8892
63,60892220,-41364,75325,-9579,1861685,41843,254968,9099
64,60853805,-38415,68545,-6780,1897572,35887,264276,9308
65,60815570,-38235,65653,-2892,1929211,31639,273764,9488
66,60775013,-40557,66818,1165,1958956,29745,283410,9646
67,60734398,-40615,67342,524,1989253,30297,293205,9795
68,60695568,-38830,65767,-1575,2019712,30459,303151,9946
69,60654226,-41342,67648,1881,2049073,29361,313250,10099
70,60608032,-46194,73254,5606,2079417,30344,323495,10245
71,60560562,-47470,76771,3517,2112972,33555,333892,10397
72,60520383,-40179,70888,-5883,2148470,35498,344457,10565
73,60486401,-33982,62337,-8551,2180260,31790,355199,10742
74,60452119,-34282,59217,-3120,2206762,26502,366101,10902
75,60417428,-34691,58377,-840,2231258,24496,377135,11034
76,60383433,-33995,57346,-1031,2255128,23870,388291,11156
77,60347863,-35570,58508,1162,2278260,23132,399567,11276
78,60312024,-35839,59242,734,2301974,23714,410958,11391
79,60281752,-30272,53969,-5273,2326009,24035,422468,11510
80,60253626,-28126,49714,-4255,2346761,20752,434098,11630
81,60223219,-30407,50293,579,2364855,18094,445832,11734
82,60194969,-28250,48367,-1926,2383206,18351,457656,11824
83,60167003,-27966,47312,-1055,2400310,17104,469572,11916
84,60135841,-31162,50087,2775,2416696,16386,481573,12001
85,60099429,-36412,56447,6360,2434665,17969,493657,12084
86,60056561,-42868,65447,9000,2456360,21695,505830,12173
87,60014041,-42520,68699,3252,2483346,26986,518112,12282
88,59977680,-36361,63841,-4858,2512149,28803,530529,12417
89,59947260,-30420,55956,-7885,2537892,25743,543089,12560
90,59919567,-27693,50076,-5880,2558777,20885,555779,12690
91,59893075,-26492,46522,-3554,2576028,17251,568573,12794
92,59871299,-21776,40385,-6137,2591061,15033,581453,12880
93,59849784,-21515,37669,-2716,2602337,11276,594408,12955
94,59824660,-25124,40192,2523,2611926,9589,607420,13012
95,59796336,-28324,44400,4208,2622982,11056,620480,13060
96,59771586,-24750,42510,-1890,2636507,13525,633594,13114
97,59751139,-20447,37451,-5059,2648831,12324,646777,13183
98,59730009,-21130,36110,-1341,2658057,9226,660021,13244
99,59705985,-24024,38468,2358,2666433,8376,673311,13290
100,59679877,-26108,41496,3028,2676182,9749,686644,13333
101,59653970,-25907,42505,1009,2687698,11516,700025,13381
102,59628655,-25315,42317,-188,2699763,12065,713463,13438
103,59605180,-23475,40402,-1915,2711655,11892,726962,13499
104,59585647,-19533,35693,-4709,2722337,10682,740520,13558
105,59566422,-19225,33502,-2191,2730142,7805,754132,13612
106,59544293,-22129,35531,2029,2736592,6450,767782,13650
107,59522170,-22123,36335,804,2744228,7636,781465,13683
108,59504630,-17540,32074,-4261,2752308,8080,795187,13722
109,59489224,-15406,28235,-3839,2757790,5482,808948,13761
110,59471087,-18137,29432,1197,2760942,3152,822737,13789
111,59449373,-21714,33486,4054,2764797,3855,836542,13805
112,59425290,-24083,37477,3991,2771065,6268,850366,13824
113,59400503,-24787,39778,2301,2779696,8631,864221,13855
114,59376984,-23519,39431,-347,2789664,9968,878120,13899
115,59356677,-20307,36079,-3352,2799374,9710,892068,13948
116,59338196,-18481,32913,-3166,2807025,7651,906065,13997
117,59318997,-19199,32364,-549,2812737,5712,920100,14035
118,59296705,-22292,35237,2873,2818092,5355,934164,14064
119,59269862,-26843,40938,5701,2825144,7052,948254,14090
120,59237739,-32123,48498,7560,2835581,10437,962380,14126
121,59205495,-32244,51643,3145,2850502,14921,976558,14178
122,59177516,-27979,48637,-3006,2867235,16733,990810,14252
123,59152106,-25410,44864,-3773,2882081,14846,1005146,14336
124,59126567,-25539,43485,-1379,2894589,12508,1019557,14411
125,59100573,-25994,43388,-97,2906207,11618,1034030,14473
126,59075290,-25283,42638,-750,2917709,11502,1048561,14531
127,59047836,-27454,44509,1871,2928703,10994,1063149,14588
128,59014185,-33651,51455,6946,2940765,12062,1077793,14644
129,58971818,-42367,62949,11494,2956934,16169,1092497,14704
130,58925259,-46559,71739,8790,2979919,22985,1107281,14784
131,58879743,-45516,74212,2473,3008063,28144,1122181,14900
132,58836191,-43552,73236,-976,3037549,29486,1137221,15040
133,58799993,-36198,65492,-7744,3066304,28755,1152409,15188
134,58767529,-32464,58661,-6831,3090267,23963,1167740,15331
135,58733520,-34009,57474,-1187,3110013,19746,1183192,15452
136,58695820,-37700,60690,3216,3128947,18934,1198742,15550
137,58651624,-44196,68471,7781,3149716,20769,1214387,15645
138,58602819,-48805,76194,7723,3175050,25334,1230135,15748
139,58554189,-48630,79108,2914,3204891,29841,1246010,15875
140,58503335,-50854,82497,3389,3236331,31440,1262035,16025
141,58450979,-52356,85355,2858,3269648,33317,1278217,16182
142,58395996,-54983,89125,3770,3304512,34864,1294565,16348
143,58339550,-56446,92096,2971,3341465,36953,1311087,16522
144,58282396,-57154,93993,1897,3380015,38550,1327795,16708
145,58220286,-62110,99707,5714,3419511,39496,1344695,16900
146,58148375,-71911,111793,12086,3462237,42726,1361792,17097
147,58064857,-83518,128235,16442,3512002,49765,1379103,17311
148,57973612,-91245,142539,14304,3571383,59381,1396663,17560
149,57876254,-97358,154374,11835,3639050,67667,1414520,17857
150,57772069,-104185,165934,11560,3713479,74429,1432716,18196
151,57666023,-106046,172420,6486,3794472,80993,1451283,18567
152,57570934,-95089,164057,-8363,3878952,84480,1470255,18972
153,57481168,-89766,155389,-8668,3957991,79039,1489650,19395
154,57388864,-92304,154460,-929,4031435,73444,1509440,19790
155,57295685,-93179,154962,502,4103953,72518,1529597,20157
156,57200199,-95486,157471,2509,4176411,72458,1550117,20520
157,57094793,-105406,168395,10924,4250011,73600,1570999,20882
158,56985796,-108997,176355,7960,4329798,79787,1592249,21250
159,56874215,-111581,182123,5768,4413962,84164,1613898,21649
160,56757886,-116329,189178,7055,4501166,87204,1635968,22070
161,56641662,-116224,191896,2718,4592167,91001,1658474,22506
162,56526864,-114798,191556,-340,4684343,92176,1681435,22961
163,56410349,-116515,193138,1582,4775855,91512,1704856,23421
164,56291662,-118687,195941,2803,4867859,92004,1728736,23880
165,56165230,-126432,204809,8868,4961084,93225,1753075,24339
166,56027801,-137429,219353,14544,5059164,98080,1777880,24805
167,55883430,-144371,232111,12758,5165480,106316,1803176,25296
168,55735032,-148398,241243,9132,5278920,113440,1829004,25828
169,55584145,-150887,247384,6141,5397271,118351,1855398,26394
170,55435038,-149107,248061,677,5518715,121444,1882385,26987
171,55289312,-145726,244950,-3111,5639958,121243,1909978,27593
172,55143309,-146003,243983,-967,5758728,118770,1938178,28200
173,55001836,-141473,239066,-4917,5876324,117596,1966972,28794
174,54858156,-143680,239306,240,5990383,114059,1996353,29381
175,54709659,-148497,244220,4914,6104014,113631,2026305,29952
176,54556261,-153398,251086,6866,6220026,116012,2056825,30520
177,54403027,-153234,253668,2582,6339578,119552,2087925,31100
178,54248059,-154968,256435,2767,6460081,120503,2119623,31698
179,54083299,-164760,267334,10899,6581641,121560,2151924,32301
180,53914298,-169001,275935,8601,6709133,127492,2184832,32908
181,53754269,-160029,270403,-5532,6841149,132016,2218377,33545
