t,s,ds,e,de,i,di,r,dr,d,dd
0,249970,0,30,0,0,0,0,0,0,0
1,249898,-72,84,54,18,18,0,0,0,0
2,249659,-239,273,189,61,43,7,7,0,0
3,248968,-691,800,527,200,139,32,25,0,0
4,247567,-1401,1721,921,599,399,112,80,1,1
5,245766,-1801,2490,769,1388,789,351,239,4,3
6,243736,-2030,3028,538,2319,931,906,555,11,7
7,241285,-2451,3664,636,3195,876,1832,926,23,12
8,238352,-2933,4402,738,4098,903,3109,1277,39,16
9,234920,-3432,5198,796,5077,979,4745,1636,59,20
10,230989,-3931,6017,819,6137,1060,6773,2028,85,26
11,226565,-4424,6839,822,7258,1121,9223,2450,115,30
12,221647,-4918,7665,826,8417,1159,12120,2897,152,37
13,216227,-5420,8498,833,9602,1185,15479,3359,194,42
14,210310,-5917,9331,833,10807,1205,19310,3831,242,48
15,203894,-6416,10167,836,12023,1216,23621,4311,296,54
16,196966,-6928,11016,849,13247,1224,28416,4795,356,60
17,195592,-1374,5804,-5212,14484,1237,33697,5281,422,66
18,194612,-980,3328,-2476,12095,-2389,39471,5774,494,72
19,193872,-740,2098,-1230,9188,-2907,44287,4816,555,61
20,193293,-579,1446,-652,6723,-2465,47938,3651,601,46
21,192828,-465,1071,-375,4865,-1858,50601,2663,634,33
22,192447,-381,838,-233,3536,-1329,52521,1920,659,25
23,192130,-317,681,-157,2605,-931,53908,1387,676,17
24,191863,-267,568,-113,1957,-648,54922,1014,689,13
25,191635,-228,485,-83,1505,-452,55677,755,699,10
26,191438,-197,420,-65,1186,-319,56250,573,707,8
27,190552,-886,1083,663,957,-229,56696,446,713,6
28,188697,-1855,2318,1235,1218,261,57050,354,717,4
29,184848,-3849,4806,2488,2114,896,57508,458,723,6
30,177358,-7490,9444,4638,4140,2026,58324,816,734,11
31,164984,-12374,16186,6742,8126,3986,59950,1626,755,21
32,149972,-15012,21526,5340,14539,6413,63168,3218,795,40
33,147365,-2607,11263,-10263,21555,7016,68949,5781,868,73
34,145549,-1816,6371,-4892,19573,-1982,77531,8582,976,108
35,144206,-1343,3942,-2429,15461,-4112,85318,7787,1074,98
36,143174,-1032,2661,-1281,11559,-3902,91456,6138,1151,77
37,142358,-816,1933,-728,8470,-3089,96031,4575,1209,58
38,141699,-659,1486,-447,6196,-2274,99368,3337,1251,42
39,141157,-542,1190,-296,4576,-1620,101795,2427,1282,31
40,140706,-451,982,-208,3435,-1141,103573,1778,1305,23
41,140325,-381,828,-154,2631,-804,104894,1321,1322,17
42,140000,-325,711,-117,2061,-570,105893,999,1335,13
43,139720,-280,619,-92,1652,-409,106663,770,1345,10
44,139477,-243,546,-73,1354,-298,107270,607,1354,9
45,139264,-213,486,-60,1133,-221,107757,487,1360,6
46,138216,-1048,1298,812,965,-168,108155,398,1366,6
47,135940,-2276,2851,1553,1352,387,108486,331,1371,5
48,131084,-4856,6053,3202,2514,1162,108972,486,1378,7
49,121316,-9768,12248,6195,5125,2611,109922,950,1390,12
50,104341,-16975,21935,9687,10393,5268,111915,1993,1416,26
51,82425,-21916,30759,8824,19335,8942,116013,4098,1468,52
52,78596,-3829,16210,-14549,29945,10610,123685,7672,1564,96
53,75997,-2599,9166,-7044,27529,-2416,135594,11909,1714,150
54,74122,-1875,5626,-3540,21868,-5661,146532,10938,1852,138
55,72717,-1405,3743,-1883,16379,-5489,155200,8668,1961,109
56,71634,-1083,2668,-1075,11985,-4394,161670,6470,2043,82
57,70782,-852,2007,-661,8728,-3257,166380,4710,2103,60
58,70103,-679,1572,-435,6394,-2334,169785,3405,2146,43
59,69553,-550,1268,-304,4745,-1649,172256,2471,2178,32
60,69105,-448,1045,-223,3582,-1163,174066,1810,2202,24
61,68736,-369,877,-168,2757,-825,175410,1344,2220,18
62,68431,-305,746,-131,2166,-591,176423,1013,2234,14
63,68178,-253,642,-104,1735,-431,177200,777,2244,10
64,67967,-211,559,-83,1417,-318,177804,604,2253,9
65,67791,-176,490,-69,1178,-239,178280,476,2260,7
66,66890,-901,1188,698,995,-183,178661,381,2266,6
67,65088,-1802,2369,1181,1304,309,178968,307,2271,5
68,61584,-3504,4543,2174,2196,892,179399,431,2278,7
69,55191,-6393,8303,3760,4031,1835,180186,787,2288,10
70,45163,-10028,13445,5142,7376,3345,181706,1520,2309,21
71,33699,-11464,16942,3497,12450,5074,184564,2858,2346,37
72,25606,-8093,14974,-1968,17564,5114,189448,4884,2408,62
73,24550,-1056,7155,-7819,19426,1862,196374,6926,2496,88
74,23923,-627,3600,-3555,15844,-3582,204041,7667,2593,97
75,23542,-381,1934,-1666,11581,-4263,210272,6231,2672,79
76,23311,-231,1117,-817,8047,-3534,214795,4523,2730,58
