t,s,ds,e,de,i,di,r,dr,d,dd
0,249970,0,30,0,0,0,0,0,0,0
1,249898,-72,84,54,18,18,0,0,0,0
2,249659,-239,273,189,61,43,7,7,0,0
3,248968,-691,800,527,200,139,32,25,0,0
4,247567,-1401,1721,921,599,399,112,80,1,1
5,245766,-1801,2490,769,1388,789,351,239,4,3
6,243736,-2030,3028,538,2319,931,906,555,11,7
7,241285,-2451,3664,636,3195,876,1832,926,23,12
8,238352,-2933,4402,738,4098,903,3109,1277,39,16
9,234920,-3432,5198,796,5077,979,4745,1636,59,20
10,230989,-3931,6017,819,6137,1060,6773,2028,85,26
11,226565,-4424,6839,822,7258,1121,9223,2450,115,30
12,221647,-4918,7665,826,8417,1159,12120,2897,152,37
13,216227,-5420,8498,833,9602,1185,15479,3359,194,42
14,210310,-5917,9331,833,10807,1205,19310,3831,242,48
15,203894,-6416,10167,836,12023,1216,23621,4311,296,54
16,196966,-6928,11016,849,13247,1224,28416,4795,356,60
17,189528,-7438,11868,852,14484,1237,33697,5281,422,66
18,181596,-7932,12708,840,15731,1247,39471,5774,494,72
19,173162,-8434,13549,841,16976,1245,45741,6270,573,79
20,164216,-8946,14401,852,18221,1245,52505,6764,658,85
21,154766,-9450,15250,849,19472,1251,59763,7258,749,91
22,144809,-9957,16102,852,20726,1254,67517,7754,846,97
23,134329,-10480,16970,868,21982,1256,75769,8252,950,104
24,123343,-10986,17829,859,23249,1267,84519,8750,1060,110
25,111855,-11488,18679,850,24518,1269,93772,9253,1176,116
26,99855,-12000,19537,858,25783,1265,103527,9755,1298,122
27,87349,-12506,20392,855,27049,1266,113782,10255,1427,129
28,74354,-12995,21229,837,28316,1267,124539,10757,1562,135
29,60968,-13386,21961,732,29570,1254,135796,11257,1704,142
30,47781,-13187,22062,101,30756,1186,147550,11754,1852,148
31,36105,-11676,20597,-1465,31521,765,159772,12222,2005,153
32,26851,-9254,17595,-3002,31098,-423,172293,12521,2163,158
33,19792,-7059,14206,-3389,29046,-2052,184638,12345,2318,155
34,14296,-5496,11290,-2916,25793,-3253,196157,11519,2463,145
35,10008,-4288,8919,-2371,22110,-3683,206370,10213,2592,129
36,6754,-3254,6941,-1978,18498,-3612,215105,8735,2703,111
37,4425,-2329,5225,-1716,15163,-3335,222392,7287,2795,92
38,2913,-1512,3724,-1501,12151,-3012,228341,5949,2871,76
39,2105,-808,2421,-1303,9460,-2691,233083,4742,2932,61
40,1812,-293,1384,-1037,7077,-2383,236747,3664,2979,47
41,1787,-25,702,-682,5039,-2038,239457,2710,3014,35
42,1859,72,333,-369,3418,-1621,241350,1893,3040,26
43,1961,102,155,-178,2232,-1186,242595,1245,3057,17
44,2074,113,74,-81,1421,-811,243364,769,3068,11
45,2191,117,36,-38,889,-532,243809,445,3075,7
46,2311,120,18,-18,550,-339,244041,232,3079,4
47,2433,122,10,-8,338,-212,244137,96,3082,3
48,2555,122,5,-5,207,-131,244149,12,3084,2
49,2678,123,3,-2,126,-81,244108,-41,3085,1
