t,s,ds,e,de,i,di,r,dr,d,dd
0,249970,0,30,0,0,0,0,0,0,0
1,249898,-72,84,54,18,18,0,0,0,0
2,249659,-239,273,189,61,43,7,7,0,0
3,248968,-691,800,527,200,139,32,25,0,0
4,247567,-1401,1721,921,599,399,112,80,1,1
5,245766,-1801,2490,769,1388,789,351,239,4,3
6,243736,-2030,3028,538,2319,931,906,555,11,7
7,241285,-2451,3664,636,3195,876,1832,926,23,12
8,238352,-2933,4402,738,4098,903,3109,1277,39,16
9,234920,-3432,5198,796,5077,979,4745,1636,59,20
10,230989,-3931,6017,819,6137,1060,6773,2028,85,26
11,226565,-4424,6839,822,7258,1121,9223,2450,115,30
12,221647,-4918,7665,826,8417,1159,12120,2897,152,37
13,216227,-5420,8498,833,9602,1185,15479,3359,194,42
14,210310,-5917,9331,833,10807,1205,19310,3831,242,48
15,203894,-6416,10167,836,12023,1216,23621,4311,296,54
16,196966,-6928,11016,849,13247,1224,28416,4795,356,60
17,195592,-1374,5804,-5212,14484,1237,33697,5281,422,66
18,194612,-980,3328,-2476,12095,-2389,39471,5774,494,72
19,193872,-740,2098,-1230,9188,-2907,44287,4816,555,61
20,193293,-579,1446,-652,6723,-2465,47938,3651,601,46
21,192828,-465,1071,-375,4865,-1858,50601,2663,634,33
22,192447,-381,838,-233,3536,-1329,52521,1920,659,25
23,192130,-317,681,-157,2605,-931,53908,1387,676,17
24,191863,-267,568,-113,1957,-648,54922,1014,689,13
25,191635,-228,485,-83,1505,-452,55677,755,699,10
26,191438,-197,420,-65,1186,-319,56250,573,707,8
27,152259,-39179,1083,663,957,-229,94989,38739,713,6
28,120352,-31907,1927,844,1218,261,125785,30796,717,4
29,94283,-26069,2821,894,1880,662,150293,24508,723,6
30,73209,-21074,3407,586,2810,930,169841,19548,733,10
31,56615,-16594,3386,-21,3714,904,185539,15698,747,14
32,43887,-12728,2835,-551,4239,525,198273,12734,765,18
33,34232,-9655,2094,-741,4221,-18,208666,10393,787,22
34,26885,-7347,1423,-671,3766,-455,217117,8451,808,21
35,21251,-5634,916,-507,3094,-672,223913,6796,827,19
36,16892,-4359,567,-349,2389,-705,229311,5398,842,15
37,13493,-3399,340,-227,1761,-628,233552,4241,854,12
38,10826,-2667,199,-141,1251,-510,236861,3309,863,9
39,8722,-2104,114,-85,864,-387,239432,2571,869,6
40,7055,-1667,64,-50,582,-282,241425,1993,873,4
41,5731,-1324,36,-28,385,-197,242972,1547,876,3
42,4678,-1053,19,-17,250,-135,244175,1203,878,2
43,3838,-840,10,-9,160,-90,245112,937,879,1
44,3167,-671,6,-4,102,-58,245845,733,880,1
45,2632,-535,3,-3,64,-38,246421,576,881,1
46,2204,-428,2,-1,40,-24,246874,453,881,0
47,1862,-342,1,-1,25,-15,247231,357,881,0
48,1589,-273,0,-1,15,-10,247514,283,881,0
49,1370,-219,0,0,9,-6,247739,225,881,0
50,1196,-174,0,0,6,-3,247917,178,881,0
51,1056,-140,0,0,3,-3,248059,142,882,1
52,944,-112,0,0,2,-1,248172,113,882,0
53,855,-89,0,0,1,-1,248262,90,882,0
54,784,-71,0,0,1,0,248334,72,882,0
55,727,-57,0,0,0,-1,248391,57,882,0
56,681,-46,0,0,0,0,248437,46,882,0
57,645,-36,0,0,0,0,248474,37,882,0
58,615,-30,0,0,0,0,248503,29,882,0
59,592,-23,0,0,0,0,248526,23,882,0
60,573,-19,0,0,0,0,248545,19,882,0
61,559,-14,0,0,0,0,248560,15,882,0
62,547,-12,0,0,0,0,248572,12,882,0
63,537,-10,0,0,0,0,248581,9,882,0
64,529,-8,0,0,0,0,248589,8,882,0
65,523,-6,0,0,0,0,248595,6,882,0
66,518,-5,0,0,0,0,248600,5,882,0
67,515,-3,0,0,0,0,248604,4,882,0
68,511,-4,0,0,0,0,248607,3,882,0
69,509,-2,0,0,0,0,248609,2,882,0
70,507,-2,0,0,0,0,248611,2,882,0
71,505,-2,0,0,0,0,248613,2,882,0
72,504,-1,0,0,0,0,248614,1,882,0
73,503,-1,0,0,0,0,248615,1,882,0
74,502,-1,0,0,0,0,248616,1,882,0
75,502,0,0,0,0,0,248617,1,882,0
76,501,-1,0,0,0,0,248617,0,882,0
77,501,0,0,0,0,0,248618,1,882,0
78,500,-1,0,0,0,0,248618,0,882,0
79,500,0,0,0,0,0,248618,0,882,0
80,500,0,0,0,0,0,248619,1,882,0
81,500,0,0,0,0,0,248619,0,882,0
82,500,0,0,0,0,0,248619,0,882,0
83,499,-1,0,0,0,0,248619,0,882,0
84,499,0,0,0,0,0,248619,0,882,0
85,499,0,0,0,0,0,248619,0,882,0
86,499,0,0,0,0,0,248619,0,882,0
87,499,0,0,0,0,0,248619,0,882,0
88,499,0,0,0,0,0,248619,0,882,0
89,499,0,0,0,0,0,248619,0,882,0
90,499,0,0,0,0,0,248619,0,882,0
91,499,0,0,0,0,0,248619,0,882,0
92,499,0,0,0,0,0,248619,0,882,0
93,499,0,0,0,0,0,248619,0,882,0
94,499,0,0,0,0,0,248619,0,882,0
95,499,0,0,0,0,0,248619,0,882,0
96,499,0,0,0,0,0,248619,0,882,0
97,499,0,0,0,0,0,248619,0,882,0
98,499,0,0,0,0,0,248619,0,882,0
99,499,0,0,0,0,0,248619,0,882,0
