t,s,ds,e,de,i,di,r,dr
0,63036365,0,47833,0,0,0,0,0
1,62771724,-264641,298124,250291,14350,14350,0,0
2,62662761,-108963,317650,19526,100917,86567,2870,2870
3,62526611,-136150,358505,40855,176029,75112,23053,20183
4,62365361,-161250,412203,53698,248375,72346,58259,35206
5,62177850,-187511,476054,63851,322361,73986,107934,49675
6,61964009,-213841,547078,71024,400705,78344,172406,64472
7,61726871,-237138,620093,73015,484687,83982,252547,80141
8,61461152,-265719,699784,79691,573778,89091,349485,96938
9,61164394,-296758,786607,86823,668957,95179,464240,114755
10,60834418,-329976,880601,93994,771148,102191,598031,133791
11,60476031,-358387,974807,94206,881098,109950,752261,154230
12,60097341,-378690,1061056,86249,997321,116223,928481,176220
13,59702950,-394391,1137129,76073,1116173,118852,1127945,199464
14,59291501,-411449,1207440,70311,1234077,117904,1351180,223235
15,58858535,-432966,1278173,70733,1349494,115417,1597995,246815
16,58400938,-457597,1352318,74145,1463047,113553,1867894,269899
17,57917450,-483488,1430112,77794,1576133,113086,2160503,292609
18,57408020,-509430,1510508,80396,1689940,113807,2475730,315227
19,56872400,-535620,1592976,82468,1805104,115164,2813718,337988
20,56307433,-564967,1680049,87073,1921976,116872,3174739,361021
21,55714047,-593386,1769421,89372,2041596,119620,3559134,384395
22,55098267,-615780,1854374,84953,2164103,122507,3967453,408319
23,54467944,-630323,1928385,74011,2287595,123492,4400274,432821
24,53828677,-639267,1989136,60751,2408591,120996,4857793,457519
25,53179937,-648740,2041135,51999,2523614,115023,5339511,481718
26,52517205,-662732,2091527,50392,2631232,107618,5844234,504723
27,51837967,-679238,2143307,51780,2732444,101212,6370480,526246
28,51142458,-695509,2195824,52517,2828947,96503,6916969,546489
29,50432161,-710297,2247373,51549,2921905,92958,7482759,565790
30,49709493,-722668,2295830,48457,3011736,89831,8067139,584380
31,48977363,-732130,2339211,43381,3098138,86402,8669487,602348
32,48235478,-741885,2379333,40122,3180273,82135,9289114,619627
33,47479952,-755526,2421059,41726,3258018,77745,9925169,636055
34,46706989,-772963,2467704,46645,3332732,74714,10576773,651604
35,45916865,-790124,2517517,49813,3406497,73765,11243319,666546
36,45114350,-802515,2564777,47260,3480453,73956,11924618,681299
37,44306819,-807531,2602875,38098,3553795,73342,12620709,696091
38,43499805,-807014,2629027,26152,3623898,70103,13331468,710759
39,42695944,-803861,2644179,15152,3687827,63929,14056248,724780
40,41893767,-802177,2653103,8924,3743515,55688,14793813,737565
41,41088184,-805583,2662754,9651,3790743,47228,15542516,748703
42,40273366,-814818,2678747,15993,3831421,40678,16300665,758149
43,39444995,-828371,2703494,24747,3868761,37340,17066949,766284
44,38604892,-840103,2732548,29054,3906057,37296,17840701,773752
45,37759869,-845023,2757807,25259,3944610,38553,18621912,781211
46,36918407,-841462,2771927,14120,3983030,38420,19410834,788922
47,36087312,-831095,2771444,-483,4018002,34972,20207440,796606
48,35270096,-817216,2757226,-14218,4045835,27833,21011041,803601
49,34467844,-802252,2732311,-24915,4063836,18001,21820208,809167
50,33680907,-786937,2699554,-32757,4070762,6926,22632975,812767
51,32911044,-769863,2659551,-40003,4066476,-4286,23447127,814152
52,32158736,-752308,2613994,-45557,4051046,-15430,24260422,813295
53,31422194,-736542,2566337,-47657,4025035,-26011,25070632,810210
54,30701954,-720240,2516676,-49661,3989929,-35106,25875638,805006
55,30000905,-701049,2462723,-53953,3946946,-42983,26673624,797986
56,29321856,-679049,2402955,-59768,3896374,-50572,27463014,789390
57,28663432,-658424,2340492,-62463,3837985,-58389,28242288,779274
58,28020708,-642724,2281068,-59424,3772536,-65449,29009885,767597
59,27390010,-630698,2227446,-53622,3702349,-70187,29764393,754508
60,26772506,-617504,2176717,-50729,3630113,-72236,30504862,740469
61,26167255,-605251,2128952,-47765,3557106,-73007,31230885,726023
62,25567941,-599314,2089580,-39372,3484370,-72736,31942306,711421
63,24969328,-598613,2061320,-28260,3414370,-70000,32639180,696874
64,24372308,-597020,2039944,-21376,3349892,-64478,33322054,682874
65,23784249,-588059,2016019,-23925,3291897,-57995,33992033,669979
66,23213950,-570299,1981512,-34507,3238323,-53574,34650412,658379
67,22665557,-548393,1935452,-46060,3185112,-53211,35298077,647665
68,22138545,-527012,1881829,-53623,3128725,-56387,35935099,637022
69,21630533,-508012,1825292,-56537,3067529,-61196,36560844,625745
70,21142609,-487924,1765628,-59664,3001611,-65918,37174350,613506
71,20679956,-462653,1698592,-67036,2930977,-70634,37774672,600322
72,20245830,-434126,1623142,-75450,2854359,-76618,38360868,586196
73,19838824,-407006,1543205,-79937,2770430,-83929,38931739,570871
74,19456156,-382668,1462912,-80293,2679305,-91125,39485825,554086
75,19096087,-360069,1384107,-78805,2582318,-96987,40021686,535861
76,18757580,-338507,1307382,-76725,2481086,-101232,40538150,516464
77,18438788,-318792,1233959,-73423,2377084,-104002,41034367,496217
78,18136631,-302157,1165929,-68030,2271855,-105229,41509784,475417
79,17848848,-287783,1103933,-61996,2167262,-104593,41964155,454371
80,17574080,-274768,1047521,-56412,2064990,-102272,42397607,433452
81,17310525,-263555,996820,-50701,1966248,-98742,42810605,412998
82,17055069,-255456,953230,-43590,1872044,-94204,43203855,393250
83,16804565,-250504,917765,-35465,1783604,-88440,43578264,374409
84,16556939,-247626,890061,-27704,1702213,-81391,43934985,356721
85,16311005,-245934,868978,-21083,1628789,-73424,44275427,340442
86,16066034,-244971,853255,-15723,1563724,-65065,44601185,325758
87,15821140,-244894,842172,-11083,1506956,-56768,44913930,312745
88,15575385,-245755,835276,-6896,1458216,-48740,45215321,301391
89,15329416,-245969,830662,-4614,1417156,-41060,45506964,291643
90,15086170,-243246,824710,-5952,1382923,-34233,45790395,283431
91,14848714,-237456,814753,-9957,1353752,-29171,46066980,276585
92,14617834,-230880,801206,-13547,1327427,-26325,46337730,270750
93,14392806,-225028,785873,-15333,1302304,-25123,46603216,265486
94,14172787,-220019,770130,-15743,1277605,-24699,46863677,260461
95,13957416,-215371,754462,-15668,1253123,-24482,47119197,255520
96,13747597,-209819,737942,-16520,1228837,-24286,47369822,250625
97,13544307,-203290,719849,-18093,1204452,-24385,47615589,245767
98,13346815,-197492,701386,-18463,1179517,-24935,47856480,240891
99,13155005,-191810,682780,-18606,1154029,-25488,48092383,235903
100,12969330,-185675,663621,-19159,1128057,-25972,48323189,230806
101,12790260,-179070,643605,-20016,1101532,-26525,48548800,225611
102,12618891,-171369,621892,-21713,1074308,-27224,48769107,220307
103,12456717,-162174,597499,-24393,1046014,-28294,48983968,214861
104,12302831,-153886,572135,-25364,1016061,-29953,49193171,209203
105,12152854,-149977,550471,-21664,984489,-31572,49396383,203212
106,12001864,-150990,536320,-14151,952733,-31756,49593281,196898
107,11848488,-153376,528800,-7520,923082,-29651,49783828,190547
108,11695205,-153283,523443,-5357,897106,-25976,49968444,184616
109,11544890,-150315,516725,-6718,874718,-22388,50147865,179421
110,11398292,-146598,508306,-8419,854792,-19926,50322809,174944
111,11252910,-145382,501196,-7110,836325,-18467,50493767,170958
112,11107150,-145760,496597,-4599,819419,-16906,50661032,167265
113,10961912,-145238,492856,-3741,804514,-14905,50824916,163884
114,10818090,-143822,488821,-4035,791468,-13046,50985819,160903
115,10673944,-144146,486321,-2500,779821,-11647,51144112,158293
116,10527363,-146581,487006,685,769753,-10068,51300076,155964
117,10378350,-149013,489917,2911,761904,-7849,51454027,153951
118,10228665,-149685,492628,2711,756498,-5406,51606408,152381
119,10080549,-148116,492954,326,752987,-3511,51757707,151299
120,9936671,-143878,488947,-4007,750276,-2711,51908305,150598
121,9800163,-136508,478770,-10177,746905,-3371,52058360,150055
122,9672703,-127460,462600,-16170,741155,-5750,52207741,149381
123,9553347,-119356,443176,-19424,731704,-9451,52355972,148231
124,9440697,-112650,422873,-20303,718316,-13388,52502313,146341
125,9335654,-105043,401053,-21820,701514,-16802,52645976,143663
126,9240085,-95569,376307,-24746,681528,-19986,52786279,140303
127,9154054,-86031,349446,-26861,658114,-23414,52922584,136305
128,9075490,-78564,323176,-26270,631325,-26789,53054207,131623
129,9001320,-74170,300394,-22782,602013,-29312,53180472,126265
