t,s,ds,e,de,i,di,r,dr
0,63150844,0,33983,0,0,0,0,0
1,63008224,-142620,163010,129027,13593,13593,0,0
2,62547095,-461129,558935,395925,74719,61126,4078,4078
3,61729149,-817946,1153307,594372,275877,201158,26494,22416
4,60708233,-1020916,1712901,559594,654437,378560,109257,82763
5,59577725,-1130508,2158248,445347,1143266,488829,305588,196331
6,58243208,-1334517,2629466,471218,1663586,520320,648568,342980
7,56621344,-1621864,3199543,570077,2216296,552710,1147643,499075
8,54852813,-1768531,3688257,488714,2831225,614929,1812532,664889
9,52942861,-1909952,4122907,434650,3457160,625935,2661900,849368
10,52468138,-474723,2948466,-1174441,4069175,612015,3699048,1037148
11,52091868,-376270,2145350,-803116,4027809,-41366,4919800,1220752
12,51781178,-310690,1597900,-547450,3677606,-350203,6128143,1208343
13,51516794,-264384,1223124,-374776,3213484,-464122,7231425,1103282
14,51286490,-230304,964179,-258945,2738689,-474795,8195470,964045
15,51082036,-204454,782961,-181218,2302753,-435936,9017076,821606
16,50897635,-184401,654177,-128784,1925112,-377641,9707902,690826
17,50729048,-168587,561094,-93083,1609249,-315863,10285436,577534
18,50573081,-155967,492624,-68470,1350912,-258337,10768211,482775
19,50427270,-145811,441385,-51239,1142688,-208224,11173484,405273
20,50289684,-137586,402417,-38968,976435,-166253,11516291,342807
21,50158787,-130897,372347,-30070,844472,-131963,11809221,292930
22,50033352,-125435,348844,-23503,740069,-104403,12062563,253342
23,49912388,-120964,330270,-18574,657586,-82483,12284583,222020
24,49795098,-117290,315452,-14818,592418,-65168,12481859,197276
25,49060297,-734801,924072,608620,540873,-51545,12659584,177725
26,47772487,-1287810,1842254,918182,748240,207367,12821846,162262
27,45698200,-2074287,3179639,1337385,1260669,512429,13046318,224472
28,42743939,-2954261,4862045,1682406,2154324,893655,13424519,378201
29,39390679,-3353260,6270486,1408441,3452845,1298521,14070817,646298
30,38599661,-791018,4553310,-1717176,4925186,1472341,15106670,1035853
31,37984148,-615513,3347499,-1205811,5268954,343768,16584226,1477556
32,37487767,-496381,2504881,-842618,5027268,-241686,18164912,1580686
33,37075943,-411824,1914752,-590129,4521040,-506228,19673092,1508180
34,36726327,-349616,1498467,-416285,3930629,-590411,21029404,1356312
35,36423805,-302522,1201602,-296865,3350827,-579802,22208593,1179189
36,36157755,-266050,987011,-214591,2826220,-524607,23213841,1005248
37,35920470,-237285,829492,-157519,2373158,-453062,24061707,847866
38,35706199,-214271,711966,-117526,1993008,-380150,24773654,711947
39,35510553,-195646,622826,-89140,1679892,-313116,25371556,597902
40,35330110,-180443,554139,-68687,1425054,-254838,25875524,503968
41,35162157,-167953,500437,-53702,1219194,-205860,26303040,427516
42,35004511,-157646,457908,-42529,1053610,-165584,26668798,365758
43,34855396,-149115,423859,-34049,920690,-132920,26984881,316083
44,34713357,-142039,396355,-27504,814027,-106663,27261088,276207
45,34577191,-136166,373979,-22376,728361,-85666,27505296,244208
46,34445902,-131289,355676,-18303,659444,-68917,27723805,218509
47,34318666,-127236,340642,-15034,603881,-55563,27921638,197833
48,33519724,-798942,1003327,662685,558974,-44907,28102802,181164
49,32001942,-1517782,2119778,1116451,792612,233638,28270494,167692
50,29665900,-2336042,3607909,1488131,1402740,610128,28508278,237784
51,26717222,-2948678,5113423,1505514,2425082,1022342,28929100,420822
52,23737638,-2979584,6047638,934215,3742926,1317844,29656625,727525
53,23067363,-670275,4298858,-1748780,5039104,1296178,30779502,1122877
54,22559367,-507996,3087311,-1211547,5246916,207812,32291234,1511732
55,22158677,-400690,2253077,-834234,4907765,-339151,33865308,1574074
56,21832527,-326150,1677996,-575081,4336666,-571099,35337638,1472330
57,21560266,-272261,1279058,-398938,3706865,-629801,36638638,1301000
58,21328236,-232030,999465,-279593,3106429,-600436,37750697,1112059
59,21127024,-201212,800891,-198574,2574286,-532143,38682626,931929
60,20949923,-177101,657636,-143255,2122357,-451929,39454912,772286
61,20792021,-157902,552484,-105152,1748704,-373653,40091619,636707
62,20649642,-142379,473869,-78615,1445086,-303618,40616230,524611
63,20519985,-129657,413979,-59890,1201108,-243978,41049756,433526
64,20400880,-119105,367492,-46487,1006367,-194741,41410088,360332
65,20290622,-110258,330753,-36739,851454,-154913,41711998,301910
66,20187851,-102771,301223,-29530,728319,-123135,41967434,255436
67,20091467,-96384,277118,-24105,630312,-98007,42185930,218496
68,19513400,-578067,744338,467220,552066,-78246,42375023,189093
69,18586800,-926600,1373202,628864,684181,132115,42540643,165620
70,17310601,-1276199,2100120,726918,1028208,344027,42745898,205255
71,15909461,-1401140,2661212,561092,1559794,531586,43054360,308462
72,14637356,-1272105,2868833,207621,2156340,596546,43522298,467938
73,13589298,-1048058,2769357,-99476,2656971,500631,44169200,646902
74,12717408,-871890,2533504,-235853,2967623,310652,44966292,797092
75,12004803,-712605,2232708,-300796,3090738,123115,45856578,890286
76,11419281,-585522,1925147,-307561,3056600,-34138,46783800,927222
77,10908282,-510999,1666087,-259060,2909679,-146921,47700780,916980
78,10421894,-486388,1486040,-180047,2703210,-206469,48573683,872903
79,9973918,-447976,1339600,-146440,2486663,-216547,49384646,810963
80,9532745,-441173,1244933,-94667,2276504,-210159,50130645,745999
81,9146240,-386505,1133465,-111468,2091526,-184978,50813596,682951
82,8801621,-344619,1024698,-108767,1917454,-174072,51441054,627458
83,8499728,-301893,916712,-107986,1752097,-165357,52016290,575236
84,8212457,-287271,837298,-79414,1593153,-158944,52541919,525629
85,7988944,-223513,725892,-111406,1450126,-143027,53019865,477946
86,7826069,-162875,598410,-127482,1305445,-144681,53454903,435038
87,7712333,-113736,472782,-125628,1153176,-152269,53846536,391633
88,7636384,-75949,359619,-113163,996336,-156840,54192489,345953
89,7575185,-61199,276970,-82649,841282,-155054,54491390,298901
90,7523788,-51397,217579,-59391,699686,-141596,54743774,252384
91,7473058,-50730,181278,-36301,576812,-122874,54953680,209906
92,7424047,-49011,157777,-23501,476279,-100533,55126724,173044
93,7383641,-40406,135072,-22705,396506,-79773,55269607,142883
94,7351062,-32579,113622,-21450,331583,-64923,55388559,118952
95,7316790,-34272,102446,-11176,277557,-54026,55488034,99475
96,7277500,-39290,100758,-1688,235268,-42289,55571301,83267
97,7235505,-41995,102449,1691,204991,-30277,55641882,70581
98,7190309,-45196,106666,4217,184473,-20518,55703379,61497
99,7146820,-43489,107489,823,171798,-12675,55758721,55342
