t,s,ds,e,de,i,di,r,dr
0,62964615,0,119583,0,0,0,0,0
1,62003410,-961205,961205,841622,119583,119583,0,0
2,59359537,-2643873,2643873,1682668,1080190,960607,598,598
3,54343799,-5015738,5015738,2371865,3718662,2638472,5999,5401
4,47546362,-6797437,6797436,1781698,8715807,4997145,24592,18593
5,39984118,-7562244,7562244,764808,15469664,6753857,68171,43579
6,33034623,-6949495,6949495,-612749,22954560,7484896,145520,77349
7,27275412,-5759211,5759211,-1190284,29789283,6834723,260292,114772
8,22176561,-5098851,5098850,-660361,35399548,5610265,409239,148947
9,18440835,-3735726,3735727,-1363123,40321400,4921852,586236,176997
10,15451306,-2989529,2989529,-746198,43855520,3534120,787843,201607
11,13126892,-2324414,2324414,-665115,46625771,2770251,1007121,219278
12,11440545,-1686347,1686348,-638066,48717056,2091285,1240250,233129
13,10185489,-1255056,1255056,-431292,50159818,1442762,1483835,243585
14,9264737,-920752,920751,-334305,51164075,1004257,1734634,250799
15,8335072,-929665,929665,8914,51829006,664931,1990455,255821
16,7784863,-550209,550210,-379455,52499526,670520,2249600,259145
17,7315017,-469846,469846,-80364,52787238,287712,2512097,262497
18,6835112,-479905,479905,10059,52993148,205910,2776034,263937
19,6235383,-599729,599729,119824,53208086,214938,3040999,264965
20,5750564,-484819,484819,-114910,53541775,333689,3307040,266041
21,5318556,-432008,432008,-52811,53758885,217110,3574749,267709
22,5045707,-272849,272849,-159159,53922099,163214,3843543,268794
23,4881710,-163997,163997,-108852,53925338,3239,4113154,269611
24,4763618,-118092,118091,-45906,53819708,-105630,4382780,269626
25,4654030,-109588,109589,-8502,53668701,-151007,4651879,269099
26,4576275,-77755,77754,-31835,53509946,-158755,4920222,268343
27,4511322,-64953,64954,-12800,53320151,-189795,5187772,267550
28,4432698,-78624,78623,13669,53118504,-201647,5454373,266601
29,4361104,-71594,71594,-7029,52931534,-186970,5719965,265592
30,4280309,-80795,80796,9202,52738471,-193063,5984623,264658
31,4202712,-77597,77597,-3199,52555574,-182897,6248315,263692
32,4159758,-42954,42954,-34643,52370393,-185181,6511093,262778
33,4136393,-23365,23365,-19589,52151495,-218898,6772945,261852
34,4110623,-25770,25770,2405,51914102,-237393,7033703,260758
35,4078451,-32172,32172,6402,51680302,-233800,7293273,259570
36,4025779,-52672,52672,20500,51454072,-226230,7551675,258402
37,3965530,-60249,60250,7578,51249474,-204598,7808945,257270
38,3922224,-43306,43306,-16944,51053476,-195998,8065192,256247
39,3904875,-17349,17349,-25957,50841515,-211961,8320460,255268
40,3878935,-25940,25939,8590,50604656,-236859,8574667,254207
41,3854997,-23938,23939,-2000,50377572,-227084,8827691,253024
42,3841290,-13707,13707,-10232,50149623,-227949,9079578,251887
43,3833294,-7996,7996,-5711,49912582,-237041,9330327,250749
44,3822473,-10821,10821,2825,49671015,-241567,9579889,249562
45,3810424,-12049,12048,1227,49433481,-237534,9828245,248356
46,3799248,-11176,11176,-872,49198362,-235119,10075412,247167
47,3786030,-13218,13219,2043,48963546,-234816,10321404,245992
48,3776079,-9951,9951,-3268,48731947,-231599,10566221,244817
49,3768510,-7569,7569,-2382,48498238,-233709,10809881,243660
