t,s,ds,e,de,i,di,r,dr
0,63150844,0,33983,0,0,0,0,0
1,63008224,-142620,163010,129027,13593,13593,0,0
2,62547095,-461129,558935,395925,74719,61126,4078,4078
3,61679174,-867921,1203282,644347,275877,201158,26494,22416
4,60402134,-1277040,1999009,795727,674427,398550,109257,82763
5,58980876,-1421258,2620663,621654,1271703,597276,311585,202328
6,57198016,-1782860,3355258,734595,1938457,666754,693096,381511
7,55134295,-2063721,4076876,721618,2699023,760566,1274633,581537
8,52887166,-2247129,4693254,616378,3520067,821044,2084340,809707
9,50507041,-2380125,5196078,502824,4341348,821281,3140360,1056020
10,47882989,-2624052,5741698,545620,5117375,776027,4442764,1302404
11,45129833,-2753156,6198175,456477,5878842,761467,5977977,1535213
12,42152373,-2977460,6696366,498191,6594459,715617,7741629,1763652
13,38949161,-3203212,7221031,524665,7294668,700209,9719967,1978338
14,35685951,-3263210,7595829,374798,7994680,700012,11908367,2188400
15,32529177,-3156774,7714271,118442,8634608,639928,14306771,2398404
16,29598296,-2930881,7559444,-154827,9129934,495326,16897154,2590383
17,26702911,-2895385,7431052,-128392,9414731,284797,19636134,2738980
18,23972292,-2730619,7189250,-241802,9562732,148001,22460553,2824419
19,21328614,-2643678,6957228,-232022,9569613,6881,25329373,2868820
20,18892182,-2436432,6610768,-346460,9481620,-87993,28200257,2870884
21,16641094,-2251088,6217550,-393218,9281441,-200179,31044743,2844486
22,14628130,-2012964,5743493,-474057,8984029,-297412,33829175,2784432
23,13090087,-1538043,4984139,-759354,8586218,-397811,36524384,2695209
24,11843760,-1246327,4236811,-747328,8004008,-582210,39100249,2575865
25,10780810,-1062950,3605036,-631775,7297530,-706478,41501451,2401202
26,9956458,-824352,2987374,-617662,6550285,-747245,43690710,2189259
27,9217523,-738935,2531359,-456015,5780149,-770136,45655796,1965086
28,8517497,-700026,2218842,-312517,5058648,-721501,47389840,1734044
29,7950190,-567307,1898612,-320230,4428590,-630058,48907435,1517595
30,7469170,-481020,1620187,-278425,3859458,-569132,50236012,1328577
31,7005200,-463970,1436082,-184105,3349696,-509762,51393849,1157837
32,6536774,-468426,1330076,-106006,2919220,-430476,52398758,1004909
33,6100502,-436272,1234317,-95759,2575484,-343736,53274524,875766
34,5649638,-450864,1191454,-42863,2296566,-278918,54047169,772645
35,5316704,-332934,1047807,-143647,2084178,-212388,54736139,688970
36,5052949,-263755,892439,-155368,1878047,-206131,55361392,625253
37,4752956,-299993,835456,-56983,1671609,-206438,55924806,563414
38,4521109,-231847,733121,-102335,1504308,-167301,56426289,501483
39,4340104,-181005,620877,-112244,1346264,-158044,56877581,451292
40,4225343,-114761,487288,-133589,1190736,-155528,57281460,403879
41,4150611,-74732,367105,-120183,1028430,-162306,57638681,357221
42,4086503,-64108,284371,-82734,866743,-161687,57947210,308529
43,4036667,-49836,220458,-63913,720469,-146274,58207233,260023
44,3999064,-37603,169878,-50580,592511,-127958,58423374,216141
45,3960184,-38880,140807,-29071,482709,-109802,58601127,177753
46,3913701,-46483,130967,-9840,394219,-88490,58745940,144813
47,3859751,-53950,132530,1563,328340,-65879,58864206,118266
48,3808978,-50773,130291,-2239,282850,-45490,58962708,98502
49,3767094,-41884,120059,-10232,250111,-32739,59047563,84855
50,3723509,-43585,115620,-4439,223102,-27009,59122596,75033
51,3665852,-57657,127029,11409,202419,-20683,59189527,66931
52,3613829,-52023,128240,1211,192505,-9914,59250252,60725
53,3559167,-54662,131606,3366,186050,-6455,59308004,57752
54,3484771,-74396,153360,21754,182877,-3173,59363819,55815
55,3418635,-66136,158151,4791,189358,6481,59418682,54863
56,3373263,-45372,140263,-17888,195811,6453,59475490,56808
57,3337003,-36260,120418,-19845,193173,-2638,59534233,58743
58,3304291,-32712,104963,-15455,183389,-9784,59592185,57952
59,3272366,-31925,94903,-10060,170357,-13032,59647201,55016
60,3232118,-40248,97190,2287,157211,-13146,59698309,51108
61,3212123,-19995,78308,-18882,148924,-8287,59745472,47163
62,3207090,-5033,52019,-26289,135570,-13354,59790149,44677
63,3203746,-3344,34555,-17464,115706,-19864,59830820,40671
64,3202144,-1602,22335,-12220,94816,-20890,59865532,34712
65,3201545,-599,13999,-8336,75306,-19510,59893977,28445
66,3201310,-235,8635,-5364,58314,-16992,59916568,22591
67,3201198,-112,5293,-3342,44274,-14040,59934062,17494
68,3201137,-61,3237,-2056,33108,-11166,59947345,13283
69,3201099,-38,1980,-1257,24471,-8637,59957277,9932
70,3201075,-24,1212,-768,17921,-6550,59964618,7341
71,3201058,-17,744,-468,13030,-4891,59969995,5377
72,3201047,-11,458,-286,9419,-3611,59973904,3909
73,3201039,-8,283,-175,6776,-2643,59976729,2825
74,3201033,-6,175,-108,4856,-1920,59978762,2033
75,3201029,-4,109,-66,3470,-1386,59980219,1457
76,3201026,-3,69,-40,2472,-998,59981260,1041
77,3201024,-2,43,-26,1758,-714,59982002,742
78,3201022,-2,27,-16,1248,-510,59982529,527
79,3201021,-1,18,-9,885,-363,59982904,375
80,3201021,0,11,-7,626,-259,59983169,265
81,3201020,-1,7,-4,443,-183,59983357,188
82,3201020,0,5,-2,313,-130,59983490,133
83,3201019,-1,3,-2,221,-92,59983583,93
84,3201019,0,2,-1,156,-65,59983650,67
85,3201019,0,1,-1,110,-46,59983697,47
86,3201019,0,1,0,78,-32,59983730,33
87,3201019,0,1,0,55,-23,59983753,23
88,3201019,0,0,-1,39,-16,59983769,16
89,3201019,0,0,0,27,-12,59983781,12
90,3201019,0,0,0,19,-8,59983789,8
91,3201019,0,0,0,13,-6,59983795,6
92,3201019,0,0,0,10,-3,59983799,4
93,3201019,0,0,0,7,-3,59983802,3
94,3201019,0,0,0,5,-2,59983804,2
95,3201019,0,0,0,3,-2,59983805,1
96,3201019,0,0,0,2,-1,59983806,1
97,3201019,0,0,0,2,0,59983807,1
98,3201019,0,0,0,1,-1,59983807,0
99,3201019,0,0,0,1,0,59983808,1
