t,s,ds,e,de,i,di,r,dr
0,249970,0,30,0,0,0,0,0
1,249885,-85,97,67,18,18,0,0
2,249581,-304,343,246,69,51,7,7
3,248658,-923,1060,717,247,178,35,28
4,246931,-1727,2151,1091,784,537,134,99
5,244629,-2302,3163,1012,1761,977,447,313
6,241805,-2824,4089,926,2954,1193,1152,705
7,238907,-2898,4534,445,4226,1272,2333,1181
8,235537,-3370,5184,650,5256,1030,4024,1691
9,231602,-3935,6008,824,6264,1008,6126,2102
10,227104,-4498,6901,893,7363,1099,8632,2506
11,222051,-5053,7814,913,8558,1195,11577,2945
12,216443,-5608,8734,920,9823,1265,15000,3423
13,210293,-6150,9644,910,11134,1311,18930,3930
14,203581,-6712,10569,925,12467,1333,23383,4453
15,196308,-7273,11500,931,13822,1355,28370,4987
16,188488,-7820,12421,921,15193,1371,33899,5529
17,180096,-8392,13360,939,16568,1375,39976,6077
18,171144,-8952,14296,936,17957,1389,46603,6627
19,161636,-9508,15226,930,19352,1395,53786,7183
20,151570,-10066,16156,930,20747,1395,61527,7741
21,140959,-10611,17074,918,22142,1395,69825,8298
22,129787,-11172,18002,928,23529,1387,78682,8857
23,118038,-11749,18950,948,24919,1390,88094,9412
24,105741,-12297,19876,926,26321,1402,98061,9967
25,92865,-12876,20827,951,27718,1397,108590,10529
26,79423,-13442,21773,946,29127,1409,119677,11087
27,65459,-13964,22673,900,30540,1413,131328,11651
28,51277,-14182,23252,579,31928,1388,143544,12216
29,38195,-13082,22382,-870,33107,1179,156315,12771
30,27687,-10508,19461,-2921,33294,187,169558,13243
31,19832,-7855,15639,-3822,31653,-1641,182876,13318
32,13812,-6020,12276,-3363,28375,-3278,195537,12661
33,9142,-4670,9580,-2696,24391,-3984,206887,11350
34,5637,-3505,7338,-2242,20382,-4009,216643,9756
35,3130,-2507,5441,-1897,16632,-3750,224796,8153
36,1512,-1618,3795,-1646,13244,-3388,231449,6653
37,666,-846,2364,-1431,10223,-3021,236747,5298
38,336,-330,1276,-1088,7552,-2671,240836,4089
39,240,-96,606,-670,5297,-2255,243857,3021
40,213,-27,270,-336,3542,-1755,245976,2119
41,203,-10,118,-152,2287,-1255,247392,1416
42,198,-5,51,-67,1443,-844,248307,915
43,196,-2,23,-28,897,-546,248884,577
44,196,0,10,-13,552,-345,249243,359
45,195,-1,4,-6,337,-215,249464,221
46,195,0,2,-2,205,-132,249598,134
47,195,0,1,-1,124,-81,249680,82
48,195,0,0,-1,75,-49,249730,50
49,195,0,0,0,45,-30,249760,30
