t,s,ds,e,de,i,di,r,dr
0,249970,0,30,0,0,0,0,0
1,249885,-85,97,67,18,18,0,0
2,249581,-304,343,246,69,51,7,7
3,248658,-923,1060,717,247,178,35,28
4,246931,-1727,2151,1091,784,537,134,99
5,244757,-2174,3035,884,1761,977,447,313
6,241931,-2826,4039,1004,2878,1117,1152,705
7,238469,-3462,5078,1039,4150,1272,2303,1151
8,234338,-4131,6162,1084,5537,1387,3963,1660
9,229562,-4776,7241,1079,7019,1482,6178,2215
10,224136,-5426,8322,1081,8556,1537,8986,2808
11,218052,-6084,9413,1091,10127,1571,12408,3422
12,211316,-6736,10501,1088,11724,1597,16459,4051
13,203945,-7371,11571,1070,13335,1611,21148,4689
14,195900,-8045,12673,1102,14944,1609,26482,5334
15,187185,-8715,13785,1112,16570,1626,32460,5978
16,177856,-9329,14843,1058,18213,1643,39088,6628
17,167867,-9989,15926,1083,19834,1621,46373,7285
18,157197,-10670,17040,1114,21456,1622,54307,7934
19,145908,-11289,18105,1065,23098,1642,62889,8582
20,133933,-11975,19218,1113,24722,1624,72128,9239
21,121321,-12612,20298,1080,26364,1642,82017,9889
22,108068,-13253,21372,1074,27997,1633,92562,10545
23,94173,-13895,22444,1072,29622,1625,103761,11199
24,79543,-14630,23608,1164,31239,1617,115610,11849
25,64356,-15187,24630,1022,32909,1670,128105,12495
26,48605,-15751,25603,973,34523,1614,141269,13164
27,34279,-14326,24567,-1036,36076,1553,155078,13809
28,23456,-10823,20650,-3917,36385,309,169508,14430
29,15851,-7605,15865,-4785,34221,-2164,184063,14555
30,10096,-5755,12101,-3764,30052,-4169,197751,13688
31,5926,-4170,9010,-3091,25291,-4761,209772,12021
32,2969,-2957,6562,-2448,20581,-4710,219889,10117
33,1161,-1808,4432,-2130,16286,-4295,228121,8232
34,279,-882,2655,-1777,12431,-3855,234635,6514
35,43,-236,1298,-1357,9051,-3380,239607,4972
36,13,-30,550,-748,6210,-2841,243228,3621
37,8,-5,224,-326,4056,-2154,245712,2484
38,7,-1,91,-133,2568,-1488,247334,1622
39,7,0,37,-54,1595,-973,248361,1027
40,7,0,15,-22,979,-616,248999,638
41,7,0,6,-9,596,-383,249391,392
42,7,0,2,-4,361,-235,249629,238
43,7,0,1,-1,218,-143,249774,145
44,7,0,0,-1,132,-86,249861,87
45,7,0,0,0,79,-53,249914,53
46,7,0,0,0,48,-31,249946,32
47,7,0,0,0,29,-19,249965,19
48,7,0,0,0,17,-12,249976,11
49,7,0,0,0,10,-7,249983,7
