t,s,ds,e,de,i,di,r,dr
0,249970,0,30,0,0,0,0,0
1,249885,-85,97,67,18,18,0,0
2,249581,-304,343,246,69,51,7,7
3,248658,-923,1060,717,247,178,35,28
4,246931,-1727,2151,1091,784,537,134,99
5,245123,-1808,2669,518,1761,977,447,313
6,242865,-2258,3325,656,2658,897,1152,705
7,240069,-2796,4127,802,3590,932,2215,1063
8,236723,-3346,4996,869,4630,1040,3651,1436
9,232833,-3890,5889,893,5775,1145,5503,1852
10,228394,-4439,6794,905,6999,1224,7813,2310
11,223417,-4977,7695,901,8276,1277,10612,2799
12,217888,-5529,8607,912,9582,1306,13923,3311
13,211803,-6085,9528,921,10914,1332,17756,3833
14,205170,-6633,10444,916,12265,1351,22121,4365
15,197978,-7192,11370,926,13625,1360,27027,4906
16,196527,-1451,5999,-5371,14997,1372,32477,5450
17,195630,-897,3296,-2703,12598,-2399,38476,5999
18,195028,-602,1921,-1375,9536,-3062,43515,5039
19,194601,-427,1195,-726,6874,-2662,47330,3815
20,194287,-314,792,-403,4842,-2032,50079,2749
21,194049,-238,555,-237,3380,-1462,52016,1937
22,193865,-184,406,-149,2361,-1019,53368,1352
23,193206,-659,821,415,1660,-701,54312,944
24,191782,-1424,1753,932,1489,-171,54976,664
25,131112,-60670,3836,2083,1945,456,113106,58130
26,87357,-43755,5956,2120,3469,1524,153218,40112
27,57395,-29962,6138,182,5655,2186,180813,27595
28,38217,-19178,4414,-1724,7075,1420,200293,19480
29,25901,-12316,2617,-1797,6894,-181,214589,14296
30,17770,-8131,1408,-1209,5706,-1188,225116,10527
31,12291,-5479,711,-697,4268,-1438,232730,7614
32,8545,-3746,342,-369,2988,-1280,238124,5394
33,5960,-2585,159,-183,1998,-990,241883,3759
34,4164,-1796,71,-88,1294,-704,244470,2587
35,2912,-1252,31,-40,819,-475,246237,1767
36,2038,-874,13,-18,510,-309,247439,1202
37,1426,-612,6,-7,314,-196,248254,815
38,998,-428,2,-4,192,-122,248808,554
39,699,-299,1,-1,117,-75,249184,376
40,489,-210,0,-1,71,-46,249440,256
41,342,-147,0,0,43,-28,249615,175
42,240,-102,0,0,26,-17,249735,120
43,168,-72,0,0,15,-11,249817,82
44,117,-51,0,0,9,-6,249873,56
45,82,-35,0,0,6,-3,249912,39
46,58,-24,0,0,3,-3,249939,27
47,40,-18,0,0,2,-1,249958,19
48,28,-12,0,0,1,-1,249971,13
49,20,-8,0,0,1,0,249980,9
50,14,-6,0,0,0,-1,249986,6
51,10,-4,0,0,0,0,249990,4
52,7,-3,0,0,0,0,249993,3
53,5,-2,0,0,0,0,249995,2
54,3,-2,0,0,0,0,249997,2
55,2,-1,0,0,0,0,249998,1
56,2,0,0,0,0,0,249998,0
57,1,-1,0,0,0,0,249999,1
58,1,0,0,0,0,0,249999,0
59,1,0,0,0,0,0,249999,0
60,0,-1,0,0,0,0,250000,1
61,0,0,0,0,0,0,250000,0
62,0,0,0,0,0,0,250000,0
63,0,0,0,0,0,0,250000,0
64,0,0,0,0,0,0,250000,0
65,0,0,0,0,0,0,250000,0
66,0,0,0,0,0,0,250000,0
67,0,0,0,0,0,0,250000,0
68,0,0,0,0,0,0,250000,0
69,0,0,0,0,0,0,250000,0
70,0,0,0,0,0,0,250000,0
71,0,0,0,0,0,0,250000,0
72,0,0,0,0,0,0,250000,0
73,0,0,0,0,0,0,250000,0
74,0,0,0,0,0,0,250000,0
75,0,0,0,0,0,0,250000,0
76,0,0,0,0,0,0,250000,0
77,0,0,0,0,0,0,250000,0
78,0,0,0,0,0,0,250000,0
79,0,0,0,0,0,0,250000,0
80,0,0,0,0,0,0,250000,0
81,0,0,0,0,0,0,250000,0
82,0,0,0,0,0,0,250000,0
83,0,0,0,0,0,0,250000,0
84,0,0,0,0,0,0,250000,0
85,0,0,0,0,0,0,250000,0
86,0,0,0,0,0,0,250000,0
87,0,0,0,0,0,0,250000,0
88,0,0,0,0,0,0,250000,0
89,0,0,0,0,0,0,250000,0
90,0,0,0,0,0,0,250000,0
91,0,0,0,0,0,0,250000,0
92,0,0,0,0,0,0,250000,0
93,0,0,0,0,0,0,250000,0
94,0,0,0,0,0,0,250000,0
95,0,0,0,0,0,0,250000,0
96,0,0,0,0,0,0,250000,0
97,0,0,0,0,0,0,250000,0
98,0,0,0,0,0,0,250000,0
99,0,0,0,0,0,0,250000,0
