t,s,ds,e,de,i,di,r,dr
0,249970,0,30,0,0,0,0,0
1,249885,-85,97,67,18,18,0,0
2,249581,-304,343,246,69,51,7,7
3,248658,-923,1060,717,247,178,35,28
4,246931,-1727,2151,1091,784,537,134,99
5,245123,-1808,2669,518,1761,977,447,313
6,242865,-2258,3325,656,2658,897,1152,705
7,240069,-2796,4127,802,3590,932,2215,1063
8,236723,-3346,4996,869,4630,1040,3651,1436
9,232833,-3890,5889,893,5775,1145,5503,1852
10,228394,-4439,6794,905,6999,1224,7813,2310
11,223417,-4977,7695,901,8276,1277,10612,2799
12,217888,-5529,8607,912,9582,1306,13923,3311
13,211803,-6085,9528,921,10914,1332,17756,3833
14,205170,-6633,10444,916,12265,1351,22121,4365
15,197978,-7192,11370,926,13625,1360,27027,4906
16,196527,-1451,5999,-5371,14997,1372,32477,5450
17,195630,-897,3296,-2703,12598,-2399,38476,5999
18,195028,-602,1921,-1375,9536,-3062,43515,5039
19,194601,-427,1195,-726,6874,-2662,47330,3815
20,194287,-314,792,-403,4842,-2032,50079,2749
21,194049,-238,555,-237,3380,-1462,52016,1937
22,193865,-184,406,-149,2361,-1019,53368,1352
23,193206,-659,821,415,1660,-701,54312,944
24,191782,-1424,1753,932,1489,-171,54976,664
25,188647,-3135,3836,2083,1945,456,55572,596
26,182029,-6618,8152,4316,3469,1524,56350,778
27,169922,-12107,15368,7216,6973,3504,57737,1387
28,153742,-16180,22327,6959,13404,6431,60527,2790
29,150852,-2890,11821,-10506,21439,8035,65888,5361
30,149120,-1732,6461,-5360,19956,-1483,74464,8576
31,147986,-1134,3718,-2743,15850,-4106,82446,7982
32,147200,-786,2273,-1445,11741,-4109,88786,6340
33,146632,-568,1477,-796,8408,-3333,93482,4696
34,146207,-425,1015,-462,5931,-2477,96846,3364
35,145882,-325,732,-283,4168,-1763,99218,2372
36,145627,-255,547,-185,2940,-1228,100886,1668
37,145424,-203,422,-125,2092,-848,102062,1176
38,144677,-747,916,494,1509,-583,102899,837
39,143024,-1653,2020,1104,1455,-54,103502,603
40,139311,-3713,4520,2500,2085,630,104084,582
41,131224,-8087,9896,5376,3963,1878,104918,834
42,115503,-15721,19679,9783,8315,4352,106503,1585
43,92253,-23250,31122,11443,16796,8481,109829,3326
44,87788,-4465,16914,-14208,28751,11955,116547,6718
45,85191,-2597,9363,-7551,27399,-1352,128048,11501
46,83533,-1658,5403,-3960,22057,-5342,139007,10959
47,82408,-1125,3286,-2117,16476,-5581,147830,8823
48,81611,-797,2112,-1174,11857,-4619,154421,6591
49,81026,-585,1430,-682,8381,-3476,159163,4742
50,80585,-441,1013,-417,5887,-2494,162516,3353
51,80245,-340,745,-268,4140,-1747,164870,2354
52,79978,-267,565,-180,2931,-1209,166526,1656
53,79766,-212,438,-127,2097,-834,167699,1173
54,79028,-738,913,475,1521,-576,168538,839
55,77505,-1523,1888,975,1461,-60,169146,608
56,74347,-3158,3913,2025,2009,548,169730,584
57,68005,-6342,7907,3994,3553,1544,170534,804
58,56588,-11417,14580,6673,6876,3323,171956,1422
59,40894,-15694,21526,6946,12874,5998,174706,2750
60,37953,-2941,11552,-9974,20640,7766,179856,5150
61,36407,-1546,6166,-5386,19315,-1325,188112,8256
62,35525,-882,3348,-2818,15289,-4026,195838,7726
63,34991,-534,1874,-1474,11182,-4107,201953,6115
64,34651,-340,1089,-785,7834,-3348,206426,4473
65,34426,-225,661,-428,5354,-2480,209559,3133
66,34272,-154,419,-242,3609,-1745,211701,2142
67,34162,-110,277,-142,2417,-1192,213144,1443
68,33847,-315,426,149,1616,-801,214111,967
69,33323,-524,694,268,1225,-391,214757,646
70,32425,-898,1175,481,1152,-73,215248,491
71,30943,-1482,1952,777,1396,244,215708,460
72,28840,-2103,2884,932,2009,613,216267,559
73,26708,-2132,3286,402,2936,927,217070,803
74,25400,-1308,2622,-664,3733,797,218245,1175
75,24761,-639,1687,-935,3813,80,219738,1493
76,24405,-356,1032,-655,3300,-513,221263,1525
77,24179,-226,639,-393,2599,-701,222583,1320
78,24024,-155,410,-229,1943,-656,223623,1040
79,23913,-111,275,-135,1411,-532,224400,777
80,23830,-83,193,-82,1012,-399,224965,565
81,23765,-65,143,-50,723,-289,225370,405
82,23712,-53,110,-33,519,-204,225659,289
83,23668,-44,88,-22,378,-141,225867,208
84,23629,-39,74,-14,280,-98,226018,151
85,23596,-33,63,-11,212,-68,226129,111
86,23565,-31,56,-7,165,-47,226214,85
87,23538,-27,50,-6,132,-33,226280,66
88,23512,-26,45,-5,109,-23,226333,53
89,23488,-24,42,-3,93,-16,226377,44
90,23466,-22,39,-3,81,-12,226414,37
91,23446,-20,36,-3,72,-9,226446,32
92,23426,-20,34,-2,65,-7,226475,29
93,23408,-18,32,-2,59,-6,226501,26
94,23391,-17,30,-2,54,-5,226525,24
95,23376,-15,28,-2,50,-4,226546,21
96,23361,-15,26,-2,47,-3,226567,21
97,23347,-14,24,-2,43,-4,226585,18
98,23335,-12,22,-2,40,-3,226603,18
99,23323,-12,21,-1,38,-2,226619,16
