t,s,ds,e,de,i,di,r,dr,d,dd
0,63150844,0,33983,0,0,0,0,0,0,0
1,63111500,-39344,66533,32550,6793,6793,0,0,0,0
2,63049991,-61509,114746,48213,19086,12293,970,970,34,34
3,62944236,-105755,197573,82827,39193,20107,3695,2725,129,95
4,62783348,-160888,318988,121415,72877,33684,9289,5594,325,196
5,62548632,-234716,489980,170992,125836,52959,19690,10401,689,364
6,62238709,-309923,702029,212049,205124,79288,37647,17957,1318,629
7,61852552,-386157,947973,245944,315043,109919,66917,29270,2343,1025
8,61390538,-462014,1220678,272705,457827,142784,111866,44949,3918,1575
9,60858560,-531978,1508930,288252,633953,176126,177179,65313,6206,2288
10,60261120,-597440,1805143,296213,841583,207630,267606,90427,9374,3168
11,59578771,-682349,2127203,322060,1077639,236056,387634,120028,13580,4206
12,58805248,-773523,2476238,349035,1343071,265432,541305,153671,18965,5385
13,57948712,-856536,2838726,362488,1638916,295845,732796,191491,25677,6712
14,57047125,-901587,3174050,335324,1963354,324438,966431,233635,33868,8191
15,56102138,-944987,3486026,311976,2306714,343360,1246269,279838,43680,9812
16,55093920,-1008218,3799186,313160,2661524,354810,1574990,328721,55207,11527
17,54006481,-1087439,4129314,330128,3026322,364798,1954202,379212,68508,13301
18,52834973,-1171508,4477896,348582,3403019,376697,2385307,431105,83632,15124
19,51579047,-1255926,4841627,363731,3793540,390521,2869975,484668,100639,17007
20,50254222,-1324825,5201992,360365,4198863,405323,3410153,540178,119597,18958
21,48876509,-1377713,5543692,341700,4616120,417257,4007925,597772,140581,20984
22,47432971,-1443538,5883428,339736,5039811,423691,4664967,657042,163650,23069
23,45854447,-1578524,6290789,407361,5468589,428778,5382166,717199,188837,25187
24,44145842,-1708605,6747385,456596,5915217,446628,6160216,778050,216166,27329
25,42323121,-1822721,7227450,480065,6386892,471675,7001637,841421,245727,29561
26,40417740,-1905381,7694881,467431,6884591,497699,7909970,908333,277646,31919
27,38494225,-1923515,8087725,392844,7401928,517337,8888898,978928,312051,34405
28,36601916,-1892309,8371599,283874,7921083,519155,9941187,1052289,349042,36991
29,34720182,-1881734,8588957,217358,8420002,498919,11067059,1125872,388628,39586
30,32874568,-1845614,8727576,138619,8888389,468387,12263587,1196528,430707,42079
31,31115599,-1758969,8752694,25118,9315033,426644,13526375,1262788,475127,44420
32,29452592,-1663007,8677695,-74999,9683433,368400,14849428,1323053,521679,46552
33,27837172,-1615420,8570971,-106724,9982214,298781,16224398,1374970,570072,48393
34,26214837,-1622335,8493357,-77614,10215356,233142,17641318,1416920,619958,49886
35,24563126,-1651711,8461485,-31872,10398412,183056,19090795,1449477,671009,51051
