t,s,ds,e,de,i,di,r,dr,d,dd
0,63150844,0,33983,0,0,0,0,0,0,0
1,63111500,-39344,66533,32550,6793,6793,0,0,0,0
2,63049991,-61509,114746,48213,19086,12293,970,970,34,34
3,62944236,-105755,197573,82827,39193,20107,3695,2725,129,95
4,62783348,-160888,318988,121415,72877,33684,9289,5594,325,196
5,62583000,-200348,455612,136624,125836,52959,19690,10401,689,364
6,62330713,-252287,616895,161283,198253,72417,37647,17957,1318,629
7,62075386,-255327,749023,132128,292173,93920,65936,28289,2309,991
8,61781612,-293774,893247,144224,398578,106405,107620,41684,3769,1460
9,61450348,-331264,1046207,152960,518036,119458,164475,56855,5761,1992
10,61082648,-367700,1205114,158907,650357,132321,238358,73883,8350,2589
11,60678975,-403673,1368333,163219,794822,144465,331097,92739,11600,3250
12,60229429,-449546,1544918,176585,950493,155671,444414,113317,15572,3972
13,59726455,-502974,1739769,194851,1118380,167887,579901,135487,20322,4750
14,59171288,-555167,1948015,208246,1300323,181943,739290,159389,25911,5589
15,58571194,-600094,2159734,211719,1496915,196592,924575,185285,32410,6499
16,57938210,-632984,2362213,202479,1706678,209763,1137834,213259,39891,7481
17,57278752,-659458,2550907,188694,1925813,219135,1380935,243101,48420,8529
18,56581511,-697241,2739900,188993,2150174,224361,1655199,274264,58044,9624
19,55838623,-742888,2937013,197113,2379045,228871,1961356,306157,68789,10745
20,55043526,-795097,3147206,210193,2613382,234337,2300035,338679,80679,11890
21,54193725,-849801,3370378,223172,2854987,241605,2671998,371963,93739,13060
22,53287434,-906291,3605740,235362,3105379,250392,3078266,406268,108007,14268
23,52326457,-960977,3849076,243336,3365691,260312,3520077,441811,123526,15519
24,52011951,-314506,3397657,-451419,3636046,270355,3998828,478751,140346,16820
25,51720366,-291585,3013937,-383720,3776073,140027,4515934,517106,158517,18171
26,51448537,-271829,2687506,-326431,3818631,42558,5052766,536832,177388,18871
27,51193812,-254725,2409523,-277983,3789624,-29007,5595397,542631,196472,19084
28,50953965,-239847,2172496,-237027,3709350,-80274,6133605,538208,215410,18938
29,50727120,-226845,1970089,-202407,3593598,-115752,6660073,526468,233948,18538
30,50511685,-215435,1796947,-173142,3454548,-139050,7169740,509667,251907,17959
31,50306305,-205380,1648555,-148392,3301507,-153041,7659289,489549,269171,17264
32,50109822,-196483,1521107,-127448,3141495,-160012,8126733,467444,285670,16499
33,49921237,-188585,1411400,-109707,2979733,-161762,8571087,444354,301370,15700
34,49739686,-181551,1316738,-94662,2820028,-159705,8992114,421027,316261,14891
35,49564418,-175268,1234854,-81884,2665081,-154947,9390120,398006,330354,14093
